"Item","Total","Missing","Available"
"White Stained Glass",715,715,0
"Structure Block",392,392,0
"White Concrete",351,351,0
"Redstone Dust",267,267,66
"Sticky Piston",178,178,0
"Redstone Torch",172,172,0
"Stone",168,168,157
"Hopper",153,153,16
"Observer",128,128,32
"Target",121,121,0
"Piston",64,64,64
"Composter",60,60,0
"Packed Ice",59,59,0
"Spruce Trapdoor",59,59,0
"Birch Sign",36,36,0
"Redstone Repeater",32,32,0
"Barrel",28,28,0
"Lava Bucket",16,16,0
"Activator Rail",10,10,0
"Dispenser",8,8,0
"Moss Block",8,8,0
"Note Block",8,8,2
"Redstone Comparator",7,7,0
"Water Bucket",7,7,0
"Dropper",6,6,2
"Lever",1,1,2
"Redstone Lamp",1,1,0
